,index,Asset amount,Asset date acquired,Asset type,Respondent ID,Asset data ID,Asset possesion type,debit acc,debit amt,credit acc,credit amt
17,17,4000.0,2019-04-12,"Electrical appliances (fan, vacuum cleaner...)",4425.0,AS00001095,Own,equipment,4000.0,equity,4000.0
18,18,4000.0,2019-04-12,"Electrical appliances (fan, vacuum cleaner...)",4425.0,AS00001095,Own,equipment,4000.0,equity,4000.0
19,19,4000.0,2012-04-15,"Electrical appliances (fan, vacuum cleaner...)",4425.0,AS00001095,Own,equipment,4000.0,equity,4000.0
20,20,7000.0,2019-12-24,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001088,Own,equipment,7000.0,equity,7000.0
21,21,7000.0,2019-12-24,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001088,Own,equipment,7000.0,equity,7000.0
22,22,7000.0,2019-12-24,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001088,Own,equipment,7000.0,equity,7000.0
23,23,7000.0,2019-12-24,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001088,Own,equipment,7000.0,equity,7000.0
24,24,7000.0,2019-12-24,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001088,Own,equipment,7000.0,equity,7000.0
25,25,7000.0,2019-12-24,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001088,Own,equipment,7000.0,equity,7000.0
26,26,7000.0,2019-12-24,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001088,Own,equipment,7000.0,equity,7000.0
27,27,7000.0,2012-04-14,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001088,Own,equipment,7000.0,equity,7000.0
28,28,5800.0,2021-02-22,"Computers (laptop, desktop, display, keyboard, mouse)",4425.0,AS00001085,Own,equipment,5800.0,equity,5800.0
29,29,5800.0,2021-02-22,"Computers (laptop, desktop, display, keyboard, mouse)",4425.0,AS00001085,Own,equipment,5800.0,equity,5800.0
30,30,5800.0,2021-02-22,"Computers (laptop, desktop, display, keyboard, mouse)",4425.0,AS00001085,Own,equipment,5800.0,equity,5800.0
31,31,5800.0,2021-02-22,"Computers (laptop, desktop, display, keyboard, mouse)",4425.0,AS00001085,Own,equipment,5800.0,equity,5800.0
32,32,5800.0,2021-02-22,"Computers (laptop, desktop, display, keyboard, mouse)",4425.0,AS00001085,Own,equipment,5800.0,equity,5800.0
33,33,5800.0,2021-02-22,"Computers (laptop, desktop, display, keyboard, mouse)",4425.0,AS00001085,Own,equipment,5800.0,equity,5800.0
34,34,5800.0,2021-02-22,"Computers (laptop, desktop, display, keyboard, mouse)",4425.0,AS00001085,Own,equipment,5800.0,equity,5800.0
35,35,5800.0,2013-06-15,"Computers (laptop, desktop, display, keyboard, mouse)",4425.0,AS00001085,Own,equipment,5800.0,equity,5800.0
36,36,58000.0,2019-10-31,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001089,Own,equipment,58000.0,equity,58000.0
37,37,58000.0,2019-10-31,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001089,Own,equipment,58000.0,equity,58000.0
38,38,58000.0,2019-10-31,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001089,Own,equipment,58000.0,equity,58000.0
39,39,58000.0,2019-10-31,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001089,Own,equipment,58000.0,equity,58000.0
40,40,58000.0,2019-10-31,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001089,Own,equipment,58000.0,equity,58000.0
41,41,58000.0,2019-10-31,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001089,Own,equipment,58000.0,equity,58000.0
42,42,58000.0,2019-10-31,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001089,Own,equipment,58000.0,equity,58000.0
43,43,58000.0,2019-10-31,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001089,Own,equipment,58000.0,equity,58000.0
44,44,58000.0,2019-10-31,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001089,Own,equipment,58000.0,equity,58000.0
45,45,58000.0,2019-10-31,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001089,Own,equipment,58000.0,equity,58000.0
46,46,58000.0,2012-02-20,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001089,Own,equipment,58000.0,equity,58000.0
47,47,10000.0,2017-11-26,"Computers (laptop, desktop, display, keyboard, mouse)",4425.0,AS00001084,Own,equipment,10000.0,equity,10000.0
48,48,10000.0,2017-11-26,"Computers (laptop, desktop, display, keyboard, mouse)",4425.0,AS00001084,Own,equipment,10000.0,equity,10000.0
49,49,10000.0,2017-11-26,"Computers (laptop, desktop, display, keyboard, mouse)",4425.0,AS00001084,Own,equipment,10000.0,equity,10000.0
50,50,10000.0,2017-11-26,"Computers (laptop, desktop, display, keyboard, mouse)",4425.0,AS00001084,Own,equipment,10000.0,equity,10000.0
51,51,10000.0,2017-11-26,"Computers (laptop, desktop, display, keyboard, mouse)",4425.0,AS00001084,Own,equipment,10000.0,equity,10000.0
52,52,10000.0,2017-11-26,"Computers (laptop, desktop, display, keyboard, mouse)",4425.0,AS00001084,Own,equipment,10000.0,equity,10000.0
53,53,10000.0,2010-04-10,"Computers (laptop, desktop, display, keyboard, mouse)",4425.0,AS00001084,Own,equipment,10000.0,equity,10000.0
54,54,5500.0,2019-12-25,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001092,Own,equipment,5500.0,equity,5500.0
55,55,5500.0,2019-12-25,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001092,Own,equipment,5500.0,equity,5500.0
56,56,5500.0,2019-12-25,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001092,Own,equipment,5500.0,equity,5500.0
57,57,5500.0,2019-12-25,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001092,Own,equipment,5500.0,equity,5500.0
58,58,5500.0,2019-12-25,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001092,Own,equipment,5500.0,equity,5500.0
59,59,5500.0,2019-12-25,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001092,Own,equipment,5500.0,equity,5500.0
60,60,5500.0,2019-12-25,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001092,Own,equipment,5500.0,equity,5500.0
61,61,5500.0,2019-12-25,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001092,Own,equipment,5500.0,equity,5500.0
62,62,5500.0,2019-12-25,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001092,Own,equipment,5500.0,equity,5500.0
63,63,5500.0,2012-04-15,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001092,Own,equipment,5500.0,equity,5500.0
64,64,35000.0,2021-06-11,Machinery,4425.0,AS00002593,Own,equipment,35000.0,equity,35000.0
65,65,35000.0,2021-06-11,Machinery,4425.0,AS00002593,Own,equipment,35000.0,equity,35000.0
66,66,35000.0,2021-06-11,Machinery,4425.0,AS00002593,Own,equipment,35000.0,equity,35000.0
67,67,35000.0,2021-06-11,Machinery,4425.0,AS00002593,Own,equipment,35000.0,equity,35000.0
68,68,35000.0,2021-06-11,Machinery,4425.0,AS00002593,Own,equipment,35000.0,equity,35000.0
69,69,35000.0,2021-06-11,Machinery,4425.0,AS00002593,Own,equipment,35000.0,equity,35000.0
70,70,35000.0,2021-06-11,Machinery,4425.0,AS00002593,Own,equipment,35000.0,equity,35000.0
71,71,35000.0,2021-06-11,Machinery,4425.0,AS00002593,Own,equipment,35000.0,equity,35000.0
72,72,35000.0,2021-06-11,Machinery,4425.0,AS00002593,Own,equipment,35000.0,equity,35000.0
73,73,35000.0,2021-06-11,Machinery,4425.0,AS00002593,Own,equipment,35000.0,equity,35000.0
74,74,2000.0,2013-04-12,"Building (factory, office, reception…)",4425.0,AS00001080,Rent,,,,
75,75,2000.0,2013-04-12,"Building (factory, office, reception…)",4425.0,AS00001080,Rent,,,,
76,76,2000.0,2013-04-12,"Building (factory, office, reception…)",4425.0,AS00001080,Rent,,,,
77,77,2000.0,2013-04-12,"Building (factory, office, reception…)",4425.0,AS00001080,Rent,,,,
78,78,2000.0,2013-04-12,"Building (factory, office, reception…)",4425.0,AS00001080,Rent,,,,
79,79,2000.0,2013-04-12,"Building (factory, office, reception…)",4425.0,AS00001080,Rent,,,,
80,80,2000.0,2013-04-12,"Building (factory, office, reception…)",4425.0,AS00001080,Rent,,,,
81,81,2000.0,2013-04-12,"Building (factory, office, reception…)",4425.0,AS00001080,Rent,,,,
82,82,2000.0,2005-08-04,"Building (factory, office, reception…)",4425.0,AS00001080,Rent,,,,
83,83,5000.0,2019-12-25,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001094,Own,equipment,5000.0,equity,5000.0
84,84,5000.0,2019-12-25,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001094,Own,equipment,5000.0,equity,5000.0
85,85,5000.0,2019-12-25,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001094,Own,equipment,5000.0,equity,5000.0
86,86,5000.0,2019-12-25,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001094,Own,equipment,5000.0,equity,5000.0
87,87,5000.0,2019-12-25,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001094,Own,equipment,5000.0,equity,5000.0
88,88,5000.0,2019-12-25,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001094,Own,equipment,5000.0,equity,5000.0
89,89,5000.0,2012-04-15,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4425.0,AS00001094,Own,equipment,5000.0,equity,5000.0
90,90,17000.0,2019-07-16,"Building (factory, office, reception…)",4429.0,AS00001365,Rent,,,,
91,91,17000.0,2019-07-16,"Building (factory, office, reception…)",4429.0,AS00001365,Rent,,,,
92,92,17000.0,,"Building (factory, office, reception…)",4429.0,AS00001365,Rent,,,,
93,93,500000.0,2020-02-03,"Vehicles (cars, motorbikes, bicycles, truck, bus, tractor…)",4429.0,AS00001363,Own,equipment,500000.0,equity,500000.0
94,94,500000.0,,"Vehicles (cars, motorbikes, bicycles, truck, bus, tractor…)",4429.0,AS00001363,Own,equipment,500000.0,equity,500000.0
95,95,350000.0,2019-06-26,Machinery,4429.0,AS00001361,Own,equipment,350000.0,equity,350000.0
96,96,350000.0,,Machinery,4429.0,AS00001361,Own,equipment,350000.0,equity,350000.0
97,97,25000.0,2020-08-17,Machinery,4429.0,AS00001362,Own,equipment,25000.0,equity,25000.0
98,98,25000.0,,Machinery,4429.0,AS00001362,Own,equipment,25000.0,equity,25000.0
99,99,13000.0,2020-04-06,"Furniture (office : desks, chairs, tables, cupboards..…)",4429.0,AS00001364,Own,equipment,13000.0,equity,13000.0
100,100,13000.0,2020-04-06,"Furniture (office : desks, chairs, tables, cupboards..…)",4429.0,AS00001364,Own,equipment,13000.0,equity,13000.0
101,101,13000.0,,"Furniture (office : desks, chairs, tables, cupboards..…)",4429.0,AS00001364,Own,equipment,13000.0,equity,13000.0
102,102,500000.0,2021-04-19,Machinery,4429.0,AS00001360,Own,equipment,500000.0,equity,500000.0
103,103,500000.0,2021-04-19,"Computers (laptop, desktop, display, keyboard, mouse)",4429.0,AS00001360,Own,equipment,500000.0,equity,500000.0
104,104,30000.0,2019-02-01,"Furniture (office : desks, chairs, tables, cupboards..…)",4431.0,AS00001159,Own,equipment,30000.0,equity,30000.0
105,105,30000.0,,"Furniture (office : desks, chairs, tables, cupboards..…)",4431.0,AS00001159,Own,equipment,30000.0,equity,30000.0
106,106,500000.0,2019-11-13,Machinery,4431.0,AS00001158,Own,equipment,500000.0,equity,500000.0
107,107,500000.0,,Machinery,4431.0,AS00001158,Own,equipment,500000.0,equity,500000.0
108,108,12000.0,2020-06-26,"Computers (laptop, desktop, display, keyboard, mouse)",4431.0,AS00001160,Own,equipment,12000.0,equity,12000.0
109,109,12000.0,,"Computers (laptop, desktop, display, keyboard, mouse)",4431.0,AS00001160,Own,equipment,12000.0,equity,12000.0
110,110,400.0,2019-02-01,"Building (factory, office, reception…)",4431.0,AS00001161,Rent,,,,
111,111,400.0,2019-02-01,"Building (factory, office, reception…)",4431.0,AS00001161,Rent,,,,
112,112,400.0,2019-02-01,"Building (factory, office, reception…)",4431.0,AS00001161,Rent,,,,
113,113,400.0,,"Building (factory, office, reception…)",4431.0,AS00001161,Rent,,,,
114,114,56000.0,2003-04-15,"Electrical appliances (fan, vacuum cleaner...)",4432.0,AS00001238,Own,equipment,56000.0,equity,56000.0
115,115,112000.0,2003-04-15,"Electrical appliances (fan, vacuum cleaner...)",4432.0,AS00001239,Own,equipment,112000.0,equity,112000.0
116,116,800.0,2003-04-15,"Electrical appliances (fan, vacuum cleaner...)",4432.0,AS00001240,Own,equipment,800.0,equity,800.0
117,117,6000.0,2003-04-15,Machinery,4432.0,AS00001241,Own,equipment,6000.0,equity,6000.0
118,118,500.0,2003-04-15,"Electrical appliances (fan, vacuum cleaner...)",4432.0,AS00001242,Own,equipment,500.0,equity,500.0
119,119,8800.0,2018-04-13,"Building (factory, office, reception…)",4433.0,AS00001011,Rent,,,,
120,120,8800.0,2018-04-13,"Building (factory, office, reception…)",4433.0,AS00001011,Rent,,,,
121,121,11200.0,2018-05-11,Other (specify),4433.0,AS00001721,Own,equipment,11200.0,equity,11200.0
122,122,11200.0,2018-05-11,Other (specify),4433.0,AS00001721,Own,equipment,11200.0,equity,11200.0
123,123,60.0,2021-06-02,Other (specify),4433.0,AS00002505,Own,equipment,60.0,equity,60.0
124,124,60.0,2021-06-02,,4433.0,AS00002505,Own,equipment,60.0,equity,60.0
125,125,3000.0,2018-05-11,Other (specify),4433.0,AS00001723,Own,equipment,3000.0,equity,3000.0
126,126,3000.0,2018-05-11,Other (specify),4433.0,AS00001723,Own,equipment,3000.0,equity,3000.0
127,127,6960.0,2018-04-13,"Furniture (office : desks, chairs, tables, cupboards..…)",4433.0,AS00001010,Own,equipment,6960.0,equity,6960.0
128,128,6960.0,2018-04-13,"Furniture (office : desks, chairs, tables, cupboards..…)",4433.0,AS00001010,Own,equipment,6960.0,equity,6960.0
129,129,6000.0,2018-05-11,"Furniture (office : desks, chairs, tables, cupboards..…)",4433.0,AS00001719,Own,equipment,6000.0,equity,6000.0
130,130,6000.0,2018-05-11,"Furniture (office : desks, chairs, tables, cupboards..…)",4433.0,AS00001719,Own,equipment,6000.0,equity,6000.0
131,131,20000.0,2018-05-11,"Furniture (office : desks, chairs, tables, cupboards..…)",4433.0,AS00001724,Own,equipment,20000.0,equity,20000.0
132,132,20000.0,2018-05-11,"Furniture (office : desks, chairs, tables, cupboards..…)",4433.0,AS00001724,Own,equipment,20000.0,equity,20000.0
133,133,1000.0,2018-05-11,Other (specify),4433.0,AS00001729,Own,equipment,1000.0,equity,1000.0
134,134,1000.0,2018-05-11,Other (specify),4433.0,AS00001729,Own,equipment,1000.0,equity,1000.0
135,135,4500.0,2018-05-11,"Furniture (office : desks, chairs, tables, cupboards..…)",4433.0,AS00001720,Own,equipment,4500.0,equity,4500.0
136,136,4500.0,2018-05-11,"Furniture (office : desks, chairs, tables, cupboards..…)",4433.0,AS00001720,Own,equipment,4500.0,equity,4500.0
137,137,2500.0,2021-08-24,"Furniture (office : desks, chairs, tables, cupboards..…)",4433.0,AS00004941,Own,equipment,2500.0,equity,2500.0
138,138,2500.0,2021-08-24,"Furniture (office : desks, chairs, tables, cupboards..…)",4433.0,AS00004942,Own,equipment,2500.0,equity,2500.0
139,139,300.0,2021-08-24,"Furniture (office : desks, chairs, tables, cupboards..…)",4433.0,AS00004943,Own,equipment,300.0,equity,300.0
140,140,875.0,2019-10-26,Other (specify),4433.0,AS00005654,Own,equipment,875.0,equity,875.0
141,141,2400.0,2021-10-23,"Furniture (office : desks, chairs, tables, cupboards..…)",4433.0,AS00005655,Own,equipment,2400.0,equity,2400.0
142,142,1050.0,2020-10-26,Other (specify),4433.0,AS00005656,Own,equipment,1050.0,equity,1050.0
143,143,1500.0,2021-11-19,"Furniture (office : desks, chairs, tables, cupboards..…)",4433.0,AS00005893,Own,equipment,1500.0,equity,1500.0
144,144,2500.0,2019-12-21,Other (specify),4433.0,AS00007665,Own,equipment,2500.0,equity,2500.0
145,145,121000.0,2019-02-15,Other (specify),4433.0,AS00008131,Own,equipment,121000.0,equity,121000.0
146,146,16800.0,2018-11-15,Machinery,4435.0,AS00001124,Own,equipment,16800.0,equity,16800.0
147,147,38000.0,2019-07-15,Machinery,4435.0,AS00001125,Own,equipment,38000.0,equity,38000.0
148,148,45000.0,2019-06-15,Machinery,4435.0,AS00001126,Own,equipment,45000.0,equity,45000.0
149,149,5000.0,2019-06-15,Machinery,4435.0,AS00001127,Own,equipment,5000.0,equity,5000.0
150,150,2400.0,2018-11-15,Machinery,4435.0,AS00001128,Own,equipment,2400.0,equity,2400.0
151,151,5250.0,2018-03-15,"Furniture (office : desks, chairs, tables, cupboards..…)",4435.0,AS00001129,Own,equipment,5250.0,equity,5250.0
152,152,5000.0,2018-11-16,"Furniture (office : desks, chairs, tables, cupboards..…)",4435.0,AS00001130,Own,equipment,5000.0,equity,5000.0
153,153,4500.0,2020-04-14,Other (specify),4435.0,AS00001131,Own,equipment,4500.0,equity,4500.0
154,154,1150.0,2018-03-14,"Building (factory, office, reception…)",4435.0,AS00003887,Rent,,,,
155,155,3500.0,2021-02-17,Machinery,4436.0,AS00001044,Own,equipment,3500.0,equity,3500.0
156,156,3500.0,2021-02-17,Machinery,4436.0,AS00001044,Own,equipment,3500.0,equity,3500.0
157,157,3500.0,2021-02-17,Machinery,4436.0,AS00001044,Own,equipment,3500.0,equity,3500.0
158,158,3500.0,2021-02-17,Machinery,4436.0,AS00001044,Own,equipment,3500.0,equity,3500.0
159,159,3500.0,2013-06-10,Machinery,4436.0,AS00001044,Own,equipment,3500.0,equity,3500.0
160,160,1500.0,2019-12-25,Machinery,4436.0,AS00001045,Own,equipment,1500.0,equity,1500.0
161,161,1500.0,2019-12-25,Machinery,4436.0,AS00001045,Own,equipment,1500.0,equity,1500.0
162,162,1500.0,2019-12-25,Machinery,4436.0,AS00001045,Own,equipment,1500.0,equity,1500.0
163,163,1500.0,2019-12-25,Machinery,4436.0,AS00001045,Own,equipment,1500.0,equity,1500.0
164,164,1500.0,2012-04-15,Machinery,4436.0,AS00001045,Own,equipment,1500.0,equity,1500.0
165,165,2000.0,2020-01-25,Machinery,4436.0,AS00001046,Own,equipment,2000.0,equity,2000.0
166,166,2000.0,2020-01-25,Machinery,4436.0,AS00001046,Own,equipment,2000.0,equity,2000.0
167,167,2000.0,2020-01-25,Machinery,4436.0,AS00001046,Own,equipment,2000.0,equity,2000.0
168,168,2000.0,2020-01-25,Machinery,4436.0,AS00001046,Own,equipment,2000.0,equity,2000.0
169,169,2000.0,2020-01-25,Machinery,4436.0,AS00001046,Own,equipment,2000.0,equity,2000.0
170,170,2000.0,2020-01-25,Machinery,4436.0,AS00001046,Own,equipment,2000.0,equity,2000.0
171,171,2000.0,2013-01-15,Machinery,4436.0,AS00001046,Own,equipment,2000.0,equity,2000.0
172,172,2000.0,2013-01-15,Machinery,4436.0,AS00001046,Own,equipment,2000.0,equity,2000.0
173,173,2000.0,2013-01-15,Machinery,4436.0,AS00001046,Own,equipment,2000.0,equity,2000.0
174,174,3500.0,2021-06-18,Machinery,4436.0,AS00001043,Own,equipment,3500.0,equity,3500.0
175,175,3500.0,2021-06-18,Machinery,4436.0,AS00001043,Own,equipment,3500.0,equity,3500.0
176,176,3500.0,2021-06-18,Machinery,4436.0,AS00001043,Own,equipment,3500.0,equity,3500.0
177,177,3500.0,2021-06-18,Machinery,4436.0,AS00001043,Own,equipment,3500.0,equity,3500.0
178,178,3500.0,2013-05-10,Machinery,4436.0,AS00001043,Own,equipment,3500.0,equity,3500.0
179,179,200000.0,2002-04-15,"Building (factory, office, reception…)",4436.0,AS00001042,Own,building,200000.0,equity,200000.0
180,180,200000.0,2002-04-15,"Building (factory, office, reception…)",4436.0,AS00001042,Own,building,200000.0,equity,200000.0
181,181,200000.0,2002-04-15,"Building (factory, office, reception…)",4436.0,AS00001042,Own,building,200000.0,equity,200000.0
182,182,200000.0,2002-04-15,"Building (factory, office, reception…)",4436.0,AS00001042,Own,building,200000.0,equity,200000.0
183,183,70000.0,2020-03-20,Machinery,4437.0,AS00000882,Own,equipment,70000.0,equity,70000.0
184,184,25000.0,2020-01-29,Machinery,4437.0,AS00000883,Own,equipment,25000.0,equity,25000.0
185,185,14000.0,2015-06-30,Land,4437.0,AS00005418,Rent,,,,
186,186,14000.0,2015-06-30,Land,4437.0,AS00005416,Rent,,,,
187,187,26000.0,2016-01-27,Machinery,4438.0,AS00001450,Own,equipment,26000.0,equity,26000.0
188,188,5000.0,2016-06-10,Machinery,4438.0,AS00001451,Own,equipment,5000.0,equity,5000.0
189,189,4000.0,2016-11-08,Machinery,4438.0,AS00001452,Own,equipment,4000.0,equity,4000.0
190,190,2500.0,2020-03-19,Machinery,4438.0,AS00001453,Own,equipment,2500.0,equity,2500.0
191,191,3500.0,2020-03-11,Machinery,4438.0,AS00001454,Own,equipment,3500.0,equity,3500.0
192,192,3500.0,2016-08-11,Machinery,4438.0,AS00001455,Own,equipment,3500.0,equity,3500.0
193,193,14000.0,2016-11-17,Machinery,4438.0,AS00001456,Own,equipment,14000.0,equity,14000.0
194,194,5000.0,2016-11-17,Machinery,4438.0,AS00001457,Own,equipment,5000.0,equity,5000.0
195,195,9000.0,2014-01-15,Machinery,4438.0,AS00001458,Own,equipment,9000.0,equity,9000.0
196,196,1275.0,2018-05-14,Machinery,4438.0,AS00006616,Rent,,,,
197,197,10000.0,2019-09-25,"Computers (laptop, desktop, display, keyboard, mouse)",4440.0,AS00000985,Own,equipment,10000.0,equity,10000.0
198,198,10000.0,,"Computers (laptop, desktop, display, keyboard, mouse)",4440.0,AS00000985,Own,equipment,10000.0,equity,10000.0
199,199,1500000.0,2014-04-13,Machinery,4440.0,AS00000968,Own,equipment,1500000.0,equity,1500000.0
200,200,800000.0,2016-07-08,"Vehicles (cars, motorbikes, bicycles, truck, bus, tractor…)",4440.0,AS00000988,Own,equipment,800000.0,equity,800000.0
201,201,800000.0,,"Vehicles (cars, motorbikes, bicycles, truck, bus, tractor…)",4440.0,AS00000988,Own,equipment,800000.0,equity,800000.0
202,202,5000.0,2021-03-10,"Computers (laptop, desktop, display, keyboard, mouse)",4440.0,AS00000984,Own,equipment,5000.0,equity,5000.0
203,203,5000.0,,"Computers (laptop, desktop, display, keyboard, mouse)",4440.0,AS00000984,Own,equipment,5000.0,equity,5000.0
204,204,350.0,2017-10-02,"Building (factory, office, reception…)",4440.0,AS00003396,Rent,,,,
205,205,60000.0,2019-04-12,Machinery,4442.0,AS00000906,Own,equipment,60000.0,equity,60000.0
206,206,45000.0,2019-04-01,Machinery,4442.0,AS00000907,Own,equipment,45000.0,equity,45000.0
207,207,14000.0,2020-10-10,Machinery,4442.0,AS00000908,Own,equipment,14000.0,equity,14000.0
208,208,7500.0,2019-04-01,Machinery,4442.0,AS00000909,Own,equipment,7500.0,equity,7500.0
209,209,6500.0,2019-04-10,Machinery,4442.0,AS00000910,Own,equipment,6500.0,equity,6500.0
210,210,3000.0,2018-09-01,Machinery,4442.0,AS00000912,Own,equipment,3000.0,equity,3000.0
211,211,12000.0,2019-04-01,"Computers (laptop, desktop, display, keyboard, mouse)",4442.0,AS00000915,Own,equipment,12000.0,equity,12000.0
212,212,5000.0,2019-04-01,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4442.0,AS00000916,Own,equipment,5000.0,equity,5000.0
213,213,3000.0,2017-09-08,"Building (factory, office, reception…)",4442.0,AS00000917,Rent,,,,
214,214,10000.0,2019-04-12,Machinery,4442.0,AS00000911,Own,equipment,10000.0,equity,10000.0
215,215,8000.0,2019-04-12,"Furniture (office : desks, chairs, tables, cupboards..…)",4442.0,AS00000914,Own,equipment,8000.0,equity,8000.0
216,216,10000.0,2019-04-12,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4442.0,AS00000913,Own,equipment,10000.0,equity,10000.0
217,217,10000.0,2019-04-12,"Office equipment (printer, scanner, external harddrive, calculator, till...)",4442.0,AS00000913,Own,equipment,10000.0,equity,10000.0
218,218,6000.0,2021-12-15,Machinery,4442.0,AS00007488,Own,equipment,6000.0,equity,6000.0
219,219,14000.0,2020-05-20,"Electrical appliances (fan, vacuum cleaner...)",4443.0,AS00001356,Own,equipment,14000.0,equity,14000.0
220,220,7200.0,2020-07-14,Other (specify),4443.0,AS00001357,Own,equipment,7200.0,equity,7200.0
221,221,14000.0,2020-10-14,"Electrical appliances (fan, vacuum cleaner...)",4443.0,AS00001448,Own,equipment,14000.0,equity,14000.0
222,222,750.0,2020-05-12,"Building (factory, office, reception…)",4443.0,AS00002788,Rent,,,,
